date,reflection,mood,energy,productivity,tags,date_parsed,raw_reflection,cleaned_reflection,tokens,word_count,character_count,sentence_count
2025-06-29,Explored the nearby hill station for the first time — such a great way to break the routine.,9,7,6,"weekend, adventure, travel",2025-06-29,Explored the nearby hill station for the first time — such a great way to break the routine.,explored the nearby hill station for the first time  such a great way to break the routine.,"['explored', 'nearby', 'hill', 'station', 'first', 'time', 'such', 'great', 'way', 'break', 'routine']",18,92,1
2025-06-30,Skipped my usual yoga session today but ate reasonably well.,3,3,3,"exercise, fitness, health",2025-06-30,Skipped my usual yoga session today but ate reasonably well.,skipped my usual yoga session today but ate reasonably well.,"['skipped', 'usual', 'yoga', 'session', 'ate', 'reasonably', 'well']",10,60,1
2025-07-01,"Saw my sibling briefly today, exchanged a few messages, nothing major. Ready to see what tomorrow brings.",6,5,4,"family, friends",2025-07-01,"Saw my sibling briefly today, exchanged a few messages, nothing major. Ready to see what tomorrow brings.","saw my sibling briefly today, exchanged a few messages, nothing major. ready to see what tomorrow brings.","['saw', 'sibling', 'briefly', 'exchanged', 'few', 'messages', 'nothing', 'major', 'ready', 'see', 'what', 'tomorrow', 'brings']",17,105,2
2025-07-02,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Overall a pretty good day.",8,7,6,"rest, relaxation",2025-07-02,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Overall a pretty good day.","did absolutely nothing productive today and it felt great, exactly the break i needed. overall a pretty good day.","['absolutely', 'nothing', 'productive', 'great', 'exactly', 'break', 'needed', 'overall', 'pretty', 'good', 'day']",19,113,2
2025-07-03,Today I spent a few hours learning SQL and finally understood how overfitting works. Worked through a tricky problem involving gradient descent and felt genuinely satisfied once it worked.,7,5,7,"python, coding",2025-07-03,Today I spent a few hours learning SQL and finally understood how overfitting works. Worked through a tricky problem involving gradient descent and felt genuinely satisfied once it worked.,today i spent a few hours learning sql and finally understood how overfitting works. worked through a tricky problem involving gradient descent and felt genuinely satisfied once it worked.,"['spent', 'few', 'hours', 'learning', 'sql', 'finally', 'understood', 'how', 'overfitting', 'works', 'worked', 'through', 'tricky', 'problem', 'involving', 'gradient', 'descent', 'genuinely', 'satisfied', 'once', 'worked']",29,188,2
2025-07-04,"Looked into travel options for the nearby hill station, nothing booked yet. Nothing particularly stands out about today.",5,6,4,"adventure, weekend, travel",2025-07-04,"Looked into travel options for the nearby hill station, nothing booked yet. Nothing particularly stands out about today.","looked into travel options for the nearby hill station, nothing booked yet. nothing particularly stands out about today.","['looked', 'into', 'travel', 'options', 'nearby', 'hill', 'station', 'nothing', 'booked', 'yet', 'nothing', 'stands']",18,120,2
2025-07-05,"Spent quality time with my parents today, it was really nice to just relax and catch up.",10,8,8,"relationships, friends, weekend",2025-07-05,"Spent quality time with my parents today, it was really nice to just relax and catch up.","spent quality time with my parents today, it was really nice to just relax and catch up.","['spent', 'quality', 'time', 'parents', 'nice', 'relax', 'catch']",17,88,1
2025-07-06,Didn't get any swim in today and felt sluggish because of it. Today was harder than expected.,1,2,1,wellbeing,2025-07-06,Didn't get any swim in today and felt sluggish because of it. Today was harder than expected.,didn't get any swim in today and felt sluggish because of it. today was harder than expected.,"[""didn't"", 'get', 'any', 'swim', 'sluggish', 'because', 'harder', 'than', 'expected']",17,93,2
2025-07-07,"Did a light yoga session session, nothing intense, just kept the habit going. Nothing particularly stands out about today.",8,5,5,"wellbeing, fitness",2025-07-07,"Did a light yoga session session, nothing intense, just kept the habit going. Nothing particularly stands out about today.","did a light yoga session session, nothing intense, just kept the habit going. nothing particularly stands out about today.","['light', 'yoga', 'session', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'nothing', 'stands']",19,122,2
2025-07-08,"Quiet day, spoke with my parents for a bit over the phone.",8,4,6,"family, friends, weekend",2025-07-08,"Quiet day, spoke with my parents for a bit over the phone.","quiet day, spoke with my parents for a bit over the phone.","['quiet', 'day', 'spoke', 'parents', 'bit', 'phone']",12,58,1
2025-07-09,"Took a proper rest day today, slept well and just recharged — much needed. Feeling optimistic about tomorrow.",7,7,8,"relaxation, rest",2025-07-09,"Took a proper rest day today, slept well and just recharged — much needed. Feeling optimistic about tomorrow.","took a proper rest day today, slept well and just recharged  much needed. feeling optimistic about tomorrow.","['took', 'proper', 'rest', 'day', 'slept', 'well', 'recharged', 'much', 'needed', 'feeling', 'optimistic', 'tomorrow']",18,109,2
2025-07-11,"Quiet day, spoke with a close friend for a bit over the phone.",6,5,3,family,2025-07-11,"Quiet day, spoke with a close friend for a bit over the phone.","quiet day, spoke with a close friend for a bit over the phone.","['quiet', 'day', 'spoke', 'close', 'friend', 'bit', 'phone']",13,62,1
2025-07-12,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Took a proper rest day today, slept well and just recharged — much needed.",6,8,5,"weekend, rest",2025-07-12,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Took a proper rest day today, slept well and just recharged — much needed.","did absolutely nothing productive today and it felt great, exactly the break i needed. took a proper rest day today, slept well and just recharged  much needed.","['absolutely', 'nothing', 'productive', 'great', 'exactly', 'break', 'needed', 'took', 'proper', 'rest', 'day', 'slept', 'well', 'recharged', 'much', 'needed']",28,161,2
2025-07-14,Did a bit of reading but got distracted halfway through.,5,6,5,"hobbies, music, creativity",2025-07-14,Did a bit of reading but got distracted halfway through.,did a bit of reading but got distracted halfway through.,"['bit', 'reading', 'got', 'distracted', 'halfway', 'through']",10,56,1
2025-07-15,"Felt pretty drained after dealing with a client presentation, didn't get much else done. Trying not to be too hard on myself about it.",3,1,3,"work, productivity",2025-07-15,"Felt pretty drained after dealing with a client presentation, didn't get much else done. Trying not to be too hard on myself about it.","felt pretty drained after dealing with a client presentation, didn't get much else done. trying not to be too hard on myself about it.","['pretty', 'drained', 'after', 'dealing', 'client', 'presentation', ""didn't"", 'get', 'much', 'else', 'done', 'trying', 'not', 'too', 'hard', 'myself']",24,134,2
2025-07-16,"Barely got through any statistics today, my focus on hypothesis testing kept slipping. Tried to study Python today but kept getting stuck on correlation vs causation and felt frustrated. Today was harder than expected.",3,2,1,"learning, data science",2025-07-16,"Barely got through any statistics today, my focus on hypothesis testing kept slipping. Tried to study Python today but kept getting stuck on correlation vs causation and felt frustrated. Today was harder than expected.","barely got through any statistics today, my focus on hypothesis testing kept slipping. tried to study python today but kept getting stuck on correlation vs causation and felt frustrated. today was harder than expected.","['barely', 'got', 'through', 'any', 'statistics', 'focus', 'hypothesis', 'testing', 'kept', 'slipping', 'tried', 'study', 'python', 'kept', 'getting', 'stuck', 'correlation', 'vs', 'causation', 'frustrated', 'harder', 'than', 'expected']",34,218,3
2025-07-17,"Fairly average day at work, mostly just handled a backlog of emails without much excitement. Spent most of the day on the quarterly report, nothing particularly noteworthy happened. A fairly typical day, all things considered.",7,5,8,"meetings, productivity",2025-07-17,"Fairly average day at work, mostly just handled a backlog of emails without much excitement. Spent most of the day on the quarterly report, nothing particularly noteworthy happened. A fairly typical day, all things considered.","fairly average day at work, mostly just handled a backlog of emails without much excitement. spent most of the day on the quarterly report, nothing particularly noteworthy happened. a fairly typical day, all things considered.","['fairly', 'average', 'day', 'work', 'mostly', 'handled', 'backlog', 'emails', 'without', 'much', 'excitement', 'spent', 'most', 'day', 'quarterly', 'report', 'nothing', 'noteworthy', 'happened', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",35,226,3
2025-07-18,"Spent some time reviewing pandas, mostly going over hypothesis testing again. Nothing particularly stands out about today.",5,5,4,python,2025-07-18,"Spent some time reviewing pandas, mostly going over hypothesis testing again. Nothing particularly stands out about today.","spent some time reviewing pandas, mostly going over hypothesis testing again. nothing particularly stands out about today.","['spent', 'time', 'reviewing', 'pandas', 'mostly', 'going', 'hypothesis', 'testing', 'nothing', 'stands']",17,122,2
2025-07-19,"Great day with a close friend, nothing planned but it turned out to be one of the better days recently.",6,6,8,"weekend, family, relationships",2025-07-19,"Great day with a close friend, nothing planned but it turned out to be one of the better days recently.","great day with a close friend, nothing planned but it turned out to be one of the better days recently.","['great', 'day', 'close', 'friend', 'nothing', 'planned', 'turned', 'one', 'better', 'days', 'recently']",20,103,1
2025-07-20,"Fairly lazy day overall, mixed a bit of rest with a few small chores. A fairly typical day, all things considered.",2,7,7,"sleep, weekend, relaxation",2025-07-20,"Fairly lazy day overall, mixed a bit of rest with a few small chores. A fairly typical day, all things considered.","fairly lazy day overall, mixed a bit of rest with a few small chores. a fairly typical day, all things considered.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",21,114,2
2025-07-21,"Quiet day, spoke with a close friend for a bit over the phone. A fairly typical day, all things considered.",3,4,4,relationships,2025-07-21,"Quiet day, spoke with a close friend for a bit over the phone. A fairly typical day, all things considered.","quiet day, spoke with a close friend for a bit over the phone. a fairly typical day, all things considered.","['quiet', 'day', 'spoke', 'close', 'friend', 'bit', 'phone', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",20,107,2
2025-07-23,"Thought about picking reading back up today but didn't get to it. Did a bit of reading but got distracted halfway through. A fairly typical day, all things considered.",4,6,6,"creativity, music",2025-07-23,"Thought about picking reading back up today but didn't get to it. Did a bit of reading but got distracted halfway through. A fairly typical day, all things considered.","thought about picking reading back up today but didn't get to it. did a bit of reading but got distracted halfway through. a fairly typical day, all things considered.","['thought', 'picking', 'reading', ""didn't"", 'get', 'bit', 'reading', 'got', 'distracted', 'halfway', 'through', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",29,167,3
2025-07-24,Struggled a lot with feature engineering — statistics is starting to feel overwhelming.,4,6,3,"coding, study",2025-07-24,Struggled a lot with feature engineering — statistics is starting to feel overwhelming.,struggled a lot with feature engineering  statistics is starting to feel overwhelming.,"['struggled', 'lot', 'feature', 'engineering', 'statistics', 'starting', 'overwhelming']",13,87,1
2025-07-25,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",4,5,3,"weekend, sleep, rest",2025-07-25,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-07-26,"Spent most of the day on a backlog of emails, nothing particularly noteworthy happened. Fairly average day at work, mostly just handled the quarterly report without much excitement. A fairly typical day, all things considered.",6,8,5,"meetings, productivity",2025-07-26,"Spent most of the day on a backlog of emails, nothing particularly noteworthy happened. Fairly average day at work, mostly just handled the quarterly report without much excitement. A fairly typical day, all things considered.","spent most of the day on a backlog of emails, nothing particularly noteworthy happened. fairly average day at work, mostly just handled the quarterly report without much excitement. a fairly typical day, all things considered.","['spent', 'most', 'day', 'backlog', 'emails', 'nothing', 'noteworthy', 'happened', 'fairly', 'average', 'day', 'work', 'mostly', 'handled', 'quarterly', 'report', 'without', 'much', 'excitement', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",35,226,3
2025-07-28,Had a lovely time with a close friend — we went for a long walk and it lifted my mood a lot.,7,9,9,"relationships, friends",2025-07-28,Had a lovely time with a close friend — we went for a long walk and it lifted my mood a lot.,had a lovely time with a close friend  we went for a long walk and it lifted my mood a lot.,"['lovely', 'time', 'close', 'friend', 'we', 'went', 'long', 'walk', 'lifted', 'mood', 'lot']",22,92,1
2025-07-29,"Fairly average day at work, mostly just handled a backlog of emails without much excitement.",5,6,4,"work, career, productivity",2025-07-29,"Fairly average day at work, mostly just handled a backlog of emails without much excitement.","fairly average day at work, mostly just handled a backlog of emails without much excitement.","['fairly', 'average', 'day', 'work', 'mostly', 'handled', 'backlog', 'emails', 'without', 'much', 'excitement']",15,92,1
2025-07-30,"Struggled to focus on a backlog of emails today, kept getting pulled into unnecessary meetings. Felt pretty drained after dealing with the quarterly report, didn't get much else done. Hoping tomorrow goes a bit better.",3,1,2,"career, productivity, meetings",2025-07-30,"Struggled to focus on a backlog of emails today, kept getting pulled into unnecessary meetings. Felt pretty drained after dealing with the quarterly report, didn't get much else done. Hoping tomorrow goes a bit better.","struggled to focus on a backlog of emails today, kept getting pulled into unnecessary meetings. felt pretty drained after dealing with the quarterly report, didn't get much else done. hoping tomorrow goes a bit better.","['struggled', 'focus', 'backlog', 'emails', 'kept', 'getting', 'pulled', 'into', 'unnecessary', 'meetings', 'pretty', 'drained', 'after', 'dealing', 'quarterly', 'report', ""didn't"", 'get', 'much', 'else', 'done', 'hoping', 'tomorrow', 'goes', 'bit', 'better']",35,218,3
2025-07-31,Thought about picking reading back up today but didn't get to it.,3,3,6,"music, hobbies",2025-07-31,Thought about picking reading back up today but didn't get to it.,thought about picking reading back up today but didn't get to it.,"['thought', 'picking', 'reading', ""didn't"", 'get']",12,65,1
2025-08-01,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",2,6,5,"rest, sleep",2025-08-01,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-08-02,"Saw my parents briefly today, exchanged a few messages, nothing major.",3,6,4,"relationships, weekend",2025-08-02,"Saw my parents briefly today, exchanged a few messages, nothing major.","saw my parents briefly today, exchanged a few messages, nothing major.","['saw', 'parents', 'briefly', 'exchanged', 'few', 'messages', 'nothing', 'major']",11,70,1
2025-08-03,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Looking forward to more days like this.",10,10,9,"sleep, weekend, rest",2025-08-03,"Did absolutely nothing productive today and it felt great, exactly the break I needed. Looking forward to more days like this.","did absolutely nothing productive today and it felt great, exactly the break i needed. looking forward to more days like this.","['absolutely', 'nothing', 'productive', 'great', 'exactly', 'break', 'needed', 'looking', 'forward', 'more', 'days', 'like']",21,126,2
2025-08-04,"Finished a few pending tickets ahead of schedule today, which felt great going into the weekend.",8,9,7,"career, productivity",2025-08-04,"Finished a few pending tickets ahead of schedule today, which felt great going into the weekend.","finished a few pending tickets ahead of schedule today, which felt great going into the weekend.","['finished', 'few', 'pending', 'tickets', 'ahead', 'schedule', 'which', 'great', 'going', 'into', 'weekend']",16,96,1
2025-08-05,"Did a bit of data visualization practice today, nothing major, just consolidating feature engineering.",5,6,7,"data science, python",2025-08-05,"Did a bit of data visualization practice today, nothing major, just consolidating feature engineering.","did a bit of data visualization practice today, nothing major, just consolidating feature engineering.","['bit', 'data', 'visualization', 'practice', 'nothing', 'major', 'consolidating', 'feature', 'engineering']",14,102,1
2025-08-06,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",4,5,5,"rest, relaxation",2025-08-06,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-08-07,"Took a proper rest day today, slept well and just recharged — much needed.",4,6,6,relaxation,2025-08-07,"Took a proper rest day today, slept well and just recharged — much needed.","took a proper rest day today, slept well and just recharged  much needed.","['took', 'proper', 'rest', 'day', 'slept', 'well', 'recharged', 'much', 'needed']",14,74,1
2025-08-08,"Woke up tired and skipped swim entirely, energy was low all day. Hoping tomorrow goes a bit better.",1,1,2,health,2025-08-08,"Woke up tired and skipped swim entirely, energy was low all day. Hoping tomorrow goes a bit better.","woke up tired and skipped swim entirely, energy was low all day. hoping tomorrow goes a bit better.","['woke', 'tired', 'skipped', 'swim', 'entirely', 'energy', 'low', 'all', 'day', 'hoping', 'tomorrow', 'goes', 'bit', 'better']",18,99,2
2025-08-09,"Spent the evening on photography, completely lost track of time — it was exactly what I needed. Feeling optimistic about tomorrow.",7,6,6,"music, creativity, reading",2025-08-09,"Spent the evening on photography, completely lost track of time — it was exactly what I needed. Feeling optimistic about tomorrow.","spent the evening on photography, completely lost track of time  it was exactly what i needed. feeling optimistic about tomorrow.","['spent', 'evening', 'photography', 'completely', 'lost', 'track', 'time', 'exactly', 'what', 'needed', 'feeling', 'optimistic', 'tomorrow']",21,130,2
2025-08-10,"Made good progress on writing today, felt really fulfilling. Spent the evening on reading, completely lost track of time — it was exactly what I needed.",7,7,8,"creativity, reading",2025-08-10,"Made good progress on writing today, felt really fulfilling. Spent the evening on reading, completely lost track of time — it was exactly what I needed.","made good progress on writing today, felt really fulfilling. spent the evening on reading, completely lost track of time  it was exactly what i needed.","['made', 'good', 'progress', 'writing', 'fulfilling', 'spent', 'evening', 'reading', 'completely', 'lost', 'track', 'time', 'exactly', 'what', 'needed']",26,152,2
2025-08-11,"Fairly average day at work, mostly just handled a client presentation without much excitement. Spent most of the day on a client presentation, nothing particularly noteworthy happened.",6,5,7,"productivity, meetings",2025-08-11,"Fairly average day at work, mostly just handled a client presentation without much excitement. Spent most of the day on a client presentation, nothing particularly noteworthy happened.","fairly average day at work, mostly just handled a client presentation without much excitement. spent most of the day on a client presentation, nothing particularly noteworthy happened.","['fairly', 'average', 'day', 'work', 'mostly', 'handled', 'client', 'presentation', 'without', 'much', 'excitement', 'spent', 'most', 'day', 'client', 'presentation', 'nothing', 'noteworthy', 'happened']",27,184,2
2025-08-12,Rough day at work — a client presentation kept getting delayed and I felt behind the whole time. Need to get more rest tonight.,4,4,2,work,2025-08-12,Rough day at work — a client presentation kept getting delayed and I felt behind the whole time. Need to get more rest tonight.,rough day at work  a client presentation kept getting delayed and i felt behind the whole time. need to get more rest tonight.,"['rough', 'day', 'work', 'client', 'presentation', 'kept', 'getting', 'delayed', 'behind', 'whole', 'time', 'need', 'get', 'more', 'rest', 'tonight']",24,127,2
2025-08-13,Missed a call from an old friend and felt a bit guilty about not making more time for them lately. Had a small disagreement with my parents today which put a bit of a damper on the day.,3,2,2,"friends, family",2025-08-13,Missed a call from an old friend and felt a bit guilty about not making more time for them lately. Had a small disagreement with my parents today which put a bit of a damper on the day.,missed a call from an old friend and felt a bit guilty about not making more time for them lately. had a small disagreement with my parents today which put a bit of a damper on the day.,"['missed', 'call', 'from', 'old', 'friend', 'bit', 'guilty', 'not', 'making', 'more', 'time', 'them', 'lately', 'small', 'disagreement', 'parents', 'which', 'put', 'bit', 'damper', 'day']",38,185,2
2025-08-14,Skipped my usual walk today but ate reasonably well. Ready to see what tomorrow brings.,6,2,3,"exercise, health, wellbeing",2025-08-14,Skipped my usual walk today but ate reasonably well. Ready to see what tomorrow brings.,skipped my usual walk today but ate reasonably well. ready to see what tomorrow brings.,"['skipped', 'usual', 'walk', 'ate', 'reasonably', 'well', 'ready', 'see', 'what', 'tomorrow', 'brings']",15,87,2
2025-08-16,"Trip to the coast got cancelled today, which was disappointing.",6,5,5,weekend,2025-08-16,"Trip to the coast got cancelled today, which was disappointing.","trip to the coast got cancelled today, which was disappointing.","['trip', 'coast', 'got', 'cancelled', 'which', 'disappointing']",10,63,1
2025-08-17,Missed a call from my parents and felt a bit guilty about not making more time for them lately. Hoping tomorrow goes a bit better.,3,5,3,"weekend, relationships",2025-08-17,Missed a call from my parents and felt a bit guilty about not making more time for them lately. Hoping tomorrow goes a bit better.,missed a call from my parents and felt a bit guilty about not making more time for them lately. hoping tomorrow goes a bit better.,"['missed', 'call', 'from', 'parents', 'bit', 'guilty', 'not', 'making', 'more', 'time', 'them', 'lately', 'hoping', 'tomorrow', 'goes', 'bit', 'better']",25,130,2
2025-08-18,"Quiet day, spoke with my sibling for a bit over the phone.",6,7,7,friends,2025-08-18,"Quiet day, spoke with my sibling for a bit over the phone.","quiet day, spoke with my sibling for a bit over the phone.","['quiet', 'day', 'spoke', 'sibling', 'bit', 'phone']",12,58,1
2025-08-19,"Great day with my parents, nothing planned but it turned out to be one of the better days recently.",8,5,4,"relationships, weekend",2025-08-19,"Great day with my parents, nothing planned but it turned out to be one of the better days recently.","great day with my parents, nothing planned but it turned out to be one of the better days recently.","['great', 'day', 'parents', 'nothing', 'planned', 'turned', 'one', 'better', 'days', 'recently']",19,99,1
2025-08-22,"Made good progress on photography today, felt really fulfilling. Spent the evening on photography, completely lost track of time — it was exactly what I needed. Ending the day in a good mood.",9,6,5,"reading, creativity",2025-08-22,"Made good progress on photography today, felt really fulfilling. Spent the evening on photography, completely lost track of time — it was exactly what I needed. Ending the day in a good mood.","made good progress on photography today, felt really fulfilling. spent the evening on photography, completely lost track of time  it was exactly what i needed. ending the day in a good mood.","['made', 'good', 'progress', 'photography', 'fulfilling', 'spent', 'evening', 'photography', 'completely', 'lost', 'track', 'time', 'exactly', 'what', 'needed', 'ending', 'day', 'good', 'mood']",33,191,3
2025-08-23,Thought about picking photography back up today but didn't get to it.,7,9,6,"music, reading, hobbies",2025-08-23,Thought about picking photography back up today but didn't get to it.,thought about picking photography back up today but didn't get to it.,"['thought', 'picking', 'photography', ""didn't"", 'get']",12,69,1
2025-08-24,"Looked into travel options for the nearby hill station, nothing booked yet.",4,5,4,"adventure, travel",2025-08-24,"Looked into travel options for the nearby hill station, nothing booked yet.","looked into travel options for the nearby hill station, nothing booked yet.","['looked', 'into', 'travel', 'options', 'nearby', 'hill', 'station', 'nothing', 'booked', 'yet']",12,75,1
2025-08-25,"Woke up tired and skipped gym workout entirely, energy was low all day.",6,6,6,"health, fitness",2025-08-25,"Woke up tired and skipped gym workout entirely, energy was low all day.","woke up tired and skipped gym workout entirely, energy was low all day.","['woke', 'tired', 'skipped', 'gym', 'workout', 'entirely', 'energy', 'low', 'all', 'day']",13,71,1
2025-08-26,Struggled a lot with hypothesis testing — SQL is starting to feel overwhelming. Need to get more rest tonight.,5,5,5,"coding, study, data science",2025-08-26,Struggled a lot with hypothesis testing — SQL is starting to feel overwhelming. Need to get more rest tonight.,struggled a lot with hypothesis testing  sql is starting to feel overwhelming. need to get more rest tonight.,"['struggled', 'lot', 'hypothesis', 'testing', 'sql', 'starting', 'overwhelming', 'need', 'get', 'more', 'rest', 'tonight']",19,110,2
2025-08-27,"Despite the upcoming presentation, I felt in control today and made good progress preparing for it. Managed my anxiety about the assignment due date well today by breaking the work into smaller pieces. Overall a pretty good day.",8,8,8,"deadline, anxiety, exam",2025-08-27,"Despite the upcoming presentation, I felt in control today and made good progress preparing for it. Managed my anxiety about the assignment due date well today by breaking the work into smaller pieces. Overall a pretty good day.","despite the upcoming presentation, i felt in control today and made good progress preparing for it. managed my anxiety about the assignment due date well today by breaking the work into smaller pieces. overall a pretty good day.","['despite', 'upcoming', 'presentation', 'control', 'made', 'good', 'progress', 'preparing', 'managed', 'anxiety', 'assignment', 'due', 'date', 'well', 'by', 'breaking', 'work', 'into', 'smaller', 'pieces', 'overall', 'pretty', 'good', 'day']",38,228,3
2025-08-28,"Thought about picking playing guitar back up today but didn't get to it. Did a bit of playing guitar but got distracted halfway through. A fairly typical day, all things considered.",4,6,6,"music, reading",2025-08-28,"Thought about picking playing guitar back up today but didn't get to it. Did a bit of playing guitar but got distracted halfway through. A fairly typical day, all things considered.","thought about picking playing guitar back up today but didn't get to it. did a bit of playing guitar but got distracted halfway through. a fairly typical day, all things considered.","['thought', 'picking', 'playing', 'guitar', ""didn't"", 'get', 'bit', 'playing', 'guitar', 'got', 'distracted', 'halfway', 'through', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",31,181,3
2025-08-29,"The presentation is weighing on me a lot, didn't sleep well because of it. Today was harder than expected.",5,6,5,"stress, deadline",2025-08-29,"The presentation is weighing on me a lot, didn't sleep well because of it. Today was harder than expected.","the presentation is weighing on me a lot, didn't sleep well because of it. today was harder than expected.","['presentation', 'weighing', 'me', 'lot', ""didn't"", 'sleep', 'well', 'because', 'harder', 'than', 'expected']",19,106,2
2025-08-30,"Skipped my usual gym workout today but ate reasonably well. A fairly typical day, all things considered.",8,6,6,fitness,2025-08-30,"Skipped my usual gym workout today but ate reasonably well. A fairly typical day, all things considered.","skipped my usual gym workout today but ate reasonably well. a fairly typical day, all things considered.","['skipped', 'usual', 'gym', 'workout', 'ate', 'reasonably', 'well', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",17,104,2
2025-08-31,"Trip to a new part of the city got cancelled today, which was disappointing. Today was harder than expected.",5,4,2,"travel, adventure",2025-08-31,"Trip to a new part of the city got cancelled today, which was disappointing. Today was harder than expected.","trip to a new part of the city got cancelled today, which was disappointing. today was harder than expected.","['trip', 'new', 'part', 'city', 'got', 'cancelled', 'which', 'disappointing', 'harder', 'than', 'expected']",19,108,2
2025-09-01,"Did a light swim session, nothing intense, just kept the habit going. Nothing particularly stands out about today.",5,8,7,health,2025-09-01,"Did a light swim session, nothing intense, just kept the habit going. Nothing particularly stands out about today.","did a light swim session, nothing intense, just kept the habit going. nothing particularly stands out about today.","['light', 'swim', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'nothing', 'stands']",18,114,2
2025-09-02,Thinking about the exam a lot today but haven't really started preparing yet.,6,6,5,"anxiety, deadline",2025-09-02,Thinking about the exam a lot today but haven't really started preparing yet.,thinking about the exam a lot today but haven't really started preparing yet.,"['thinking', 'exam', 'lot', ""haven't"", 'started', 'preparing', 'yet']",13,77,1
2025-09-03,"Couldn't really relax today even though I had the time, mind was too restless.",4,3,2,"weekend, relaxation",2025-09-03,"Couldn't really relax today even though I had the time, mind was too restless.","couldn't really relax today even though i had the time, mind was too restless.","[""couldn't"", 'relax', 'even', 'though', 'time', 'mind', 'too', 'restless']",14,78,1
2025-09-04,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",6,4,6,relaxation,2025-09-04,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-09-05,"Made good progress on writing today, felt really fulfilling. Grateful for how the day turned out.",8,9,7,hobbies,2025-09-05,"Made good progress on writing today, felt really fulfilling. Grateful for how the day turned out.","made good progress on writing today, felt really fulfilling. grateful for how the day turned out.","['made', 'good', 'progress', 'writing', 'fulfilling', 'grateful', 'how', 'day', 'turned']",16,97,2
2025-09-06,"Looked into travel options for a local market, nothing booked yet.",4,5,5,"travel, weekend, adventure",2025-09-06,"Looked into travel options for a local market, nothing booked yet.","looked into travel options for a local market, nothing booked yet.","['looked', 'into', 'travel', 'options', 'local', 'market', 'nothing', 'booked', 'yet']",11,66,1
2025-09-07,"Good day overall, made solid progress on a few pending tickets and the team meeting went smoothly.",9,8,6,"work, productivity",2025-09-07,"Good day overall, made solid progress on a few pending tickets and the team meeting went smoothly.","good day overall, made solid progress on a few pending tickets and the team meeting went smoothly.","['good', 'day', 'overall', 'made', 'solid', 'progress', 'few', 'pending', 'tickets', 'team', 'meeting', 'went', 'smoothly']",17,98,1
2025-09-08,"Fairly average day at work, mostly just handled the project deadline without much excitement. Spent most of the day on a few pending tickets, nothing particularly noteworthy happened.",6,5,5,"work, career",2025-09-08,"Fairly average day at work, mostly just handled the project deadline without much excitement. Spent most of the day on a few pending tickets, nothing particularly noteworthy happened.","fairly average day at work, mostly just handled the project deadline without much excitement. spent most of the day on a few pending tickets, nothing particularly noteworthy happened.","['fairly', 'average', 'day', 'work', 'mostly', 'handled', 'project', 'deadline', 'without', 'much', 'excitement', 'spent', 'most', 'day', 'few', 'pending', 'tickets', 'nothing', 'noteworthy', 'happened']",28,183,2
2025-09-09,"Did a bit of SQL practice today, nothing major, just consolidating gradient descent. Ready to see what tomorrow brings.",5,5,6,"study, data science",2025-09-09,"Did a bit of SQL practice today, nothing major, just consolidating gradient descent. Ready to see what tomorrow brings.","did a bit of sql practice today, nothing major, just consolidating gradient descent. ready to see what tomorrow brings.","['bit', 'sql', 'practice', 'nothing', 'major', 'consolidating', 'gradient', 'descent', 'ready', 'see', 'what', 'tomorrow', 'brings']",19,119,2
